"","name.x","subject","reason_abroad","reason_language","culture","name.y","reason_EBB","reason_RMTS","reason_HZ","reason_FD","reason_CA","reason_SI","culture.y","name","reason_EBB_complete","reason_RMTS_complete","reason_HZ_complete","reason_FD_complete","reason_CA_complete"
"1",1,"SS1608681385583",FALSE,TRUE,"US",1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",1,FALSE,FALSE,FALSE,FALSE,FALSE
"2",2,"SS1608688168812",FALSE,FALSE,"US",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",2,FALSE,FALSE,FALSE,FALSE,FALSE
"3",3,"SS1608698511254",FALSE,FALSE,"US",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",3,FALSE,FALSE,FALSE,FALSE,FALSE
"4",4,"SS1608700105054",FALSE,FALSE,"US",4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",4,FALSE,FALSE,FALSE,FALSE,FALSE
"5",5,"SS1608700127333",FALSE,TRUE,"US",5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"US",5,FALSE,FALSE,FALSE,FALSE,FALSE
"6",6,"SS1608700397099",FALSE,FALSE,"US",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",6,FALSE,FALSE,FALSE,FALSE,FALSE
"7",7,"SS1608704367900",FALSE,FALSE,"US",7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",7,FALSE,FALSE,FALSE,FALSE,FALSE
"8",8,"SS1608705551890",FALSE,FALSE,"US",8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",8,FALSE,FALSE,FALSE,FALSE,FALSE
"9",9,"SS1608708437584",FALSE,FALSE,"US",9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",9,FALSE,FALSE,FALSE,FALSE,FALSE
"10",10,"SS1608709300687",TRUE,FALSE,"US",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",10,FALSE,FALSE,FALSE,FALSE,FALSE
"11",11,"SS1608737929527",FALSE,TRUE,"US",11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",11,FALSE,FALSE,FALSE,FALSE,FALSE
"12",12,"SS1608750563425",FALSE,FALSE,"US",12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",12,FALSE,FALSE,FALSE,FALSE,FALSE
