subject,culture,ssi_id,circle_number,codeable,me_circle,coder,x,y,r
SS1651616837719,US,US10,1,1,1,SG,492,244,36.23534186
SS1651616837719,US,US10,2,1,0,SG,636,115,36.12478374
SS1651616837719,US,US10,3,1,0,SG,261,112,38.58756276
SS1651678474300,US,US109,1,1,1,SG,150,77.0002672,51.92301994
SS1651678474300,US,US109,2,1,0,SG,488,79,50.24937811
SS1651678474300,US,US109,3,1,0,SG,340,226,63.07138812
SS1651678474300,US,US109,4,1,0,SG,678,214,67.06713055
SS1651678474300,US,US109,5,1,0,SG,167,380.0002338,58.13776741
SS1651616839120,US,US13,1,1,1,SG,498,320,100
SS1651616839120,US,US13,2,1,0,SG,207,146,62.12889827
SS1651616839120,US,US13,3,1,0,SG,499,76,51.97114584
SS1651616839120,US,US13,4,1,0,SG,727,150,45.31004304
SS1651680994828,US,US132,1,1,1,SG,480,377,133.0037593
SS1651680994828,US,US132,2,1,0,SG,721,148,82.03657721
SS1651680994828,US,US132,3,1,0,SG,183,196,81.0246876
SS1651680994828,US,US132,4,1,0,SG,250,590,81.0246876
SS1651680994828,US,US132,5,1,0,SG,781,530,97.08243919
SS1651690758188,US,US174,1,1,1,SG,484,234,69.35416354
SS1651690758188,US,US174,2,1,0,SG,250,91,43.08131846
SS1651690758188,US,US174,3,1,0,SG,671,82,42.48529157
SS1651690758188,US,US174,4,1,0,SG,248,355,51.623638
SS1651690802568,US,US178,1,1,1,SG,444,281,44.82186966
SS1651690802568,US,US178,2,1,0,SG,575,138,44.55333882
SS1651690802568,US,US178,3,1,0,SG,627,276,46.22769733
SS1651690802568,US,US178,4,1,0,SG,584,419,46.09772229
SS1651691207769,US,US189,1,1,1,SG,205,463,133.2216199
SS1651691207769,US,US189,2,1,0,SG,139,77,47.16990566
SS1651691207769,US,US189,3,1,0,SG,391,65,49.92995093
SS1651691207769,US,US189,4,1,0,SG,475,233,67.11929678
SS1651691207769,US,US189,5,1,0,SG,460,446,85.38149682
SS1651616843053,US,US19,1,1,0,SG,398,51,56.8594759
SS1651616843053,US,US19,2,1,1,SG,584,74,75.43208866
SS1651616843053,US,US19,3,1,0,SG,198,120,68.9637586
SS1651616819170,US,US2,1,1,1,SG,85,74,51.2445119
SS1651616819170,US,US2,2,1,0,SG,199,42,46.5295605
SS1651616819170,US,US2,3,1,0,SG,347,45,38.01315562
SS1651616819170,US,US2,4,1,0,SG,523,280,55.94640292
SS1651616819170,US,US2,5,1,0,SG,559,91,59.16924877
SS1651616819170,US,US2,6,1,0,SG,75,256,62.12889827
SS1651616819170,US,US2,7,1,0,SG,199,273,64.25729531
SS1651616819170,US,US2,8,1,0,SG,328,299,60.00833275
SS1651868783532,US,US230,1,1,1,SG,447,300,57.28001397
SS1651868783532,US,US230,2,1,0,SG,556,172,31.6227766
SS1651868783532,US,US230,3,1,0,SG,613,208,31.89043744
SS1651868783532,US,US230,4,1,0,SG,650,266,30.41381265
SS1651868783532,US,US230,5,1,0,SG,393,456,24.73863375
SS1651868783532,US,US230,6,1,0,SG,337,296,45.3431362
SS1651868783532,US,US230,7,1,0,SG,415,199,38.60051813
SS1651868783532,US,US230,8,1,0,SG,411,549,21.63330765
SS1651868810933,US,US240,1,1,1,SG,486,269,40.31128874
SS1651868810933,US,US240,2,1,0,SG,380,273,37.58989226
SS1651868810933,US,US240,3,1,0,SG,549,201,33.30165161
SS1651868810933,US,US240,4,1,0,SG,569,303,28.31960452
SS1651868810933,US,US240,5,1,0,SG,415,332,24.33105012
SS1651868810933,US,US240,6,1,0,SG,434,160,42.20189569
SS1651868816028,US,US244,1,1,1,SG,490,382,132.280006
SS1651868816028,US,US244,2,1,0,SG,291,118,70.21395873
SS1651868816028,US,US244,3,1,0,SG,611,136,82.03657721
SS1651868816028,US,US244,4,1,0,SG,312,571,74.94664769
SS1651868816028,US,US244,5,1,0,SG,617,582,48.54894438
SS1651616854167,US,US25,1,1,1,SG,604,225,87.47571091
SS1651616854167,US,US25,2,1,0,SG,290,175,58.03447251
SS1651616854167,US,US25,3,1,0,SG,492,59,52.61178575
SS1651868852345,US,US260,1,1,1,SG,441,270,70.9365914
SS1651868852345,US,US260,2,1,0,SG,614,361,70.9365914
SS1651868852345,US,US260,3,1,0,SG,297,415,60.03332408
SS1651868924360,US,US265,1,1,1,SG,406,293,72.11102551
SS1651868924360,US,US265,2,1,0,SG,704,494,82.21921916
SS1651868924360,US,US265,3,1,0,SG,130,540,51.66236541
SS1651869014963,US,US267,1,1,1,SG,505,387,63.41135545
SS1651869014963,US,US267,2,1,0,SG,651,202,55.97320788
SS1651869014963,US,US267,3,1,0,SG,329,241,58.79625838
SS1651869014963,US,US267,4,1,0,SG,276,416,81.39410298
SS1651869014963,US,US267,5,1,0,SG,480,140,68.68041933
SS1651869014963,US,US267,6,1,0,SG,719,415,85.21150157
SS1651869014963,US,US267,7,1,0,SG,409,581,66.48308055
SS1651869107778,US,US274,1,1,0,SG,258,-191,129.2826361
SS1651869107778,US,US274,2,1,0,SG,105,352,40.85339643
SS1651869107778,US,US274,3,1,1,SG,492,360,75.32595834
SS1651869107778,US,US274,4,1,0,SG,280,152,55.73149917
SS1651869107778,US,US274,5,1,0,SG,482,116,56.08029957
SS1651869107778,US,US274,6,1,0,SG,645,270,69.26037828
SS1651869107778,US,US274,7,1,0,SG,292,512,49.979996
SS1651869107778,US,US274,8,1,0,SG,472,515,54.5710546
SS1651869117517,US,US276,1,1,1,SG,495,288,37.48332963
SS1651869117517,US,US276,2,1,0,SG,240,188,31.04834939
SS1651869117517,US,US276,3,1,0,SG,506,86,32.20248438
SS1651869117517,US,US276,4,1,0,SG,801,304,31.38470965
SS1651869117517,US,US276,5,1,0,SG,630,515,30.08321791
SS1651869117517,US,US276,6,1,0,SG,810,108,27.29468813
SS1651869117517,US,US276,7,1,0,SG,351,327,16.55294536
SS1651869117517,US,US276,8,1,0,SG,409,444,21.84032967
SS1651869117517,US,US276,9,1,0,SG,356,103,30.01666204
SS1651869128913,US,US278,1,1,1,SG,509,379,42.52058325
