subject,culture,ssi_id,circle_number,codeable,me_circle,coder,x,y,r
SS1651544690789,CN,CN1,1,0,0,SG,313,427,104
SS1651544690789,CN,CN1,2,0,0,SG,287,427,126.3170614
SS1651544690789,CN,CN1,3,0,0,SG,314,420,169.0562037
SS1651544690789,CN,CN1,4,0,0,SG,728,265,211.0260647
SS1651544824620,CN,CN2,1,1,0,SG,752,250,251.7478898
SS1651544824620,CN,CN2,2,1,0,SG,152,428,31.6227766
SS1651544824620,CN,CN2,3,1,1,SG,220,137,77.23341246
SS1651544913549,CN,CN3,1,1,1,SG,185,133,97.63708312
SS1651544913549,CN,CN3,2,1,0,SG,562,209,71.69379332
SS1651544913549,CN,CN3,3,1,0,SG,392,365,51.89412298
SS1651544913549,CN,CN3,4,1,0,SG,198,410,71.78439942
SS1651544913549,CN,CN3,5,1,0,SG,57,314,44.14748011
SS1651544913549,CN,CN3,6,1,0,SG,424,45,42.01190308
SS1651544913549,CN,CN3,7,1,0,SG,715,508,63.89053138
SS1651544913549,CN,CN3,8,1,0,SG,787,304,70
SS1651544913549,CN,CN3,9,1,0,SG,797,114,32.01562119
SS1651545081461,CN,CN4,1,1,1,SG,316,250,57.27128425
SS1651545081461,CN,CN4,2,1,0,SG,22,107,21.9317122
SS1651545081461,CN,CN4,3,1,0,SG,87,78,22.47220505
SS1651545081461,CN,CN4,4,1,0,SG,153,48,21.21320344
SS1651545081461,CN,CN4,5,1,0,SG,220,40,24.04163056
SS1651545081461,CN,CN4,6,1,0,SG,309,27,22.36067977
SS1651545081461,CN,CN4,7,1,0,SG,420,60,25.8069758
SS1651545081461,CN,CN4,8,1,0,SG,488,120,29.68164416
SS1651545107281,CN,CN5,1,1,1,SG,76,81,58.41232747
SS1651545107281,CN,CN5,2,1,0,SG,271,96,61.05735009
SS1651545107281,CN,CN5,3,1,0,SG,481,100,65.60487787
SS1651545107281,CN,CN5,4,1,0,SG,676,83,62.64982043
SS1651545107281,CN,CN5,5,1,0,SG,868,99,73.1641989
SS1651545107281,CN,CN5,6,1,0,SG,71,392,66.57326791
SS1651545107281,CN,CN5,7,1,0,SG,282,409,72.80109889
SS1651545107281,CN,CN5,8,1,0,SG,448,376,66.85057965
SS1651545107281,CN,CN5,9,1,0,SG,644,363,66.85057965
SS1651545107281,CN,CN5,10,1,0,SG,859,394,81.15417426
SS1651545107281,CN,CN5,11,1,0,SG,372,590,57.28001397
SS1651545107281,CN,CN5,12,1,0,SG,727,582,66.61080993
SS1651545123067,CN,CN6,1,1,1,SG,92,109,71.34423593
SS1651545123067,CN,CN6,2,1,0,SG,654,109,41.03656906
SS1651545123067,CN,CN6,3,1,0,SG,578,307,47.63402146
SS1651545123067,CN,CN6,4,1,0,SG,342,357,40.49691346
SS1651545123067,CN,CN6,5,1,0,SG,176,495,169.7792685
SS1651545188145,CN,CN7,1,1,1,SG,174,140,73.8241153
SS1651545188145,CN,CN7,2,1,0,SG,388,142,78.64477096
SS1651545279588,CN,CN8,1,1,1,SG,373,215,66.85057965
SS1651545279588,CN,CN8,2,1,0,SG,558,188,70.9365914
SS1651545279588,CN,CN8,3,1,0,SG,518,327,59.54829972
SS1651545279588,CN,CN8,4,1,0,SG,383,378,53.07541804
SS1651545279588,CN,CN8,5,1,0,SG,252,312,65.05382387
SS1651545279588,CN,CN8,6,1,0,SG,218,186,55.22680509
