subject,culture,ssi_id,circle_number,codeable,me_circle,coder,x,y,r
SS1651545123067,CN,CN6,1,1,1,AC,92,109,71.34423593
SS1651545123067,CN,CN6,2,1,0,,654,109,41.03656906
SS1651545123067,CN,CN6,3,1,0,,578,307,47.63402146
SS1651545123067,CN,CN6,4,1,0,,342,357,40.49691346
SS1651545123067,CN,CN6,5,1,0,,176,495,169.7792685
SS1651546122639,CN,CN12,1,1,1,,411,221,44.59820624
SS1651546122639,CN,CN12,2,1,0,,687,137,43.41658669
SS1651546122639,CN,CN12,3,1,0,,126,89,42.04759208
SS1651546122639,CN,CN12,4,1,0,,438,459,43.27817002
SS1651546122639,CN,CN12,5,1,0,,181,362,40.85339643
SS1651546122639,CN,CN12,6,1,0,,728,293,40.31128874
SS1651548143005,CN,CN15,1,1,1,,388,303,114.0219277
SS1651548143005,CN,CN15,2,1,0,,643,101,79.51100553
SS1651548143005,CN,CN15,3,1,0,,694,324,62.62587325
SS1651548143005,CN,CN15,4,1,0,,649,492,62.96824597
SS1651548143005,CN,CN15,5,1,0,,388,545,61.13100686
SS1651548143005,CN,CN15,6,1,0,,167,470,119.4068675
SS1651548143005,CN,CN15,7,1,0,,134,116,98.48857802
SS1651548143005,CN,CN15,8,1,0,,377,66,52.20153254
SS1651561685665,CN,CN28,1,1,0,,260,120,50.24937811
SS1651561685665,CN,CN28,2,1,0,,391,54,51.623638
SS1651561685665,CN,CN28,3,1,0,,502,73,47.04253395
SS1651561685665,CN,CN28,4,1,0,,622,123,45.09988914
SS1651561685665,CN,CN28,5,1,0,,715,239,50.69516742
SS1651561685665,CN,CN28,6,1,0,,658,386,53.15072906
SS1651561685665,CN,CN28,7,1,0,,484,468,53.60037313
SS1651561685665,CN,CN28,8,1,0,,189,256,61.18823416
SS1651561685665,CN,CN28,9,1,0,,203,367,53.41348144
SS1651561685665,CN,CN28,10,1,0,,333,478,54.67174773
SS1651561685665,CN,CN28,11,1,1,,440,276,82.80096618
SS1651568382617,CN,CN35,1,0,0,,664,141,123.794184
SS1651568382617,CN,CN35,2,0,0,,659,519,118.1905242
SS1651568382617,CN,CN35,3,0,0,,187,341,189.6154002
SS1651576408487,CN,CN40,1,1,1,,338,110,95.90099061
SS1651576408487,CN,CN40,2,1,0,,515,211,51.41984053
SS1651576408487,CN,CN40,3,1,0,,511,91,47.01063709
SS1651576408487,CN,CN40,4,1,0,,312,273,55.54277631
SS1651576408487,CN,CN40,5,1,0,,674,279,46.40043103
SS1651576408487,CN,CN40,6,1,0,,710,193,40.79215611
SS1651576408487,CN,CN40,7,1,0,,106,92,67.26812024
SS1651576408487,CN,CN40,8,1,0,,108,237,66.85057965
SS1651576408487,CN,CN40,9,1,0,,454,321,55.6596802
SS1651649525276,CN,CN62,1,0,0,,223,147,73
SS1651649525276,CN,CN62,2,0,0,,150,366,74.88658091
SS1651649525276,CN,CN62,3,0,0,,255,492,74.24957912
SS1651649525276,CN,CN62,4,0,0,,417,67,76.21679605
SS1651649525276,CN,CN62,5,0,0,,734,230,76.15773106
SS1651649525276,CN,CN62,6,0,0,,596,75,70.76722405
SS1651649525276,CN,CN62,7,0,0,,599,529,70.9365914
SS1651649525276,CN,CN62,8,0,0,,715,397,77.79460136
SS1651649525276,CN,CN62,9,0,0,,351,265,74.95331881
SS1651649525276,CN,CN62,10,0,0,,500,274,70.76722405
SS1651649525276,CN,CN62,11,0,0,,423,429,75.21303079
SS1651649525276,CN,CN62,12,0,0,,376,618,74.79304781
SS1651649525276,CN,CN62,13,0,0,,765,594,71.28113355
SS1651649525276,CN,CN62,14,0,0,,887,421,70.23531875
SS1651649525276,CN,CN62,15,0,0,,891,208,73.24616031
SS1651649525276,CN,CN62,16,0,0,,786,75,69.35416354
SS1651649525276,CN,CN62,17,0,0,,83,217,72.20110802
SS1651649525276,CN,CN62,18,0,0,,118,608,72.13875519
SS1651649525276,CN,CN62,19,0,0,,70,47,65.94694838
SS1651743246534,CN,CN98,1,1,1,,273,181,83.00602388
SS1651743246534,CN,CN98,2,1,0,,622,152,83.74365648
SS1651743246534,CN,CN98,3,1,0,,62,364,67.18630813
SS1651743246534,CN,CN98,4,1,0,,96,72,67.88225099
SS1651743246534,CN,CN98,5,1,0,,281,377,57.00877125
SS1651743246534,CN,CN98,6,1,0,,484,347,70.03570518
SS1651771465459,CN,CN113,1,1,1,,447,98,86.68333173
