Province,GrowProv,PercentPaddy,RiceCat,UNFAORiceSuitabilityIndexAll,PerCapitaGDP199610kRMB,PercapitaGDP1996Log,PerCapitaGDP1996RMB,ProvincePerCapitaGDP2000RMB,ProvincePerCapitaGDP2008RMB,ProvincePerCapitaGDP2012,ProvinceInternetPenetration2007,HDI2008,ProvincePercentCollegeGraduates1990,ProvincePercentCollegeGraduates2015,PercentWheatCornSoy1996,ProvincePercentCultivatedLand
Inner Mongolia,___,0.015351277,1,0, , , ,5872,32214,64319,0.134, ,2.06,17.55,0.55,4.64
Tibet,__,0.003602,1,0, , , ,4559,13861,20077,0.127, ,0.62,8.44,0.33,0.18
Xinjiang,__,0.0245181,1,0, , , ,7470,19893,33909,0.177, ,2.5,16.7,0.48,1.88
Shanghai,__,0.875517241,2,51.6,1.740332155,0.554075989,17403.32155,34547,73124,85373,0.458,0.908,7.6,30.13,0.15,45.74
Shandong,__,0.023402031,1,0,0.57465135,-0.55399177,5746.513498,9555,33083,51768,0.135,0.828,1.26,14.05,0.67,42.43
Shanxi,__,0.0024142,1,0,0.355047124,-1.035504755,3550.471238,5137,20742,33628,0.159,0.8,1.8,15.23,0.54,23.28
Guangdong,__,0.733051396,2,42.8,0.783593477,-0.243864917,7835.93477,12885,37589,54095,0.359,0.844,2.13,13.24,0.04,13.03
Guangxi,__,0.589205111,2,45.9,0.353543914,-1.039747576,3535.439137,4319,14966,27943,0.119,0.776,1.43,10.75,0.16,11.04
Yunnan,__,0.334006828,1,34,0.302426065,-1.195918444,3024.260652,4637,12587,22196,0.068,0.71,1.29,10.83,0.43,7.36
Tianjin,__,0.113823046,1,0,0.976762208,-0.023512046,9767.622081,17993,55473,93110,0.267,0.875,6.51,24.75,0.63,35.75
Beijing,__,0.059324155,1,0,1.115019984,0.108872328,11150.19984,22460,63029,87091,0.466,0.891,11.09,44.44,0.72,24.34
Sichuan,__,0.509887553,2,28.3,0.31205298,-1.164582297,3120.529801,4786,15378,29579,0.099,0.763,1.23,12.28,0.36,12.76
Ningxia,__,0.211719524,1,0,0.330896686,-1.105949079,3308.966862,4839,17892,36166,0.101,0.766,2.23,17.52,0.5,12.16
Gansu,__,0.002670495,1,0,0.226968827,-1.482942597,2269.688269,3838,12110,21978,0.084,0.705,1.26,14.07,0.54,7.65
Jilin,__,0.107558434,1,0,0.435648148,-0.830920361,4356.481481,6847,23514,43412,0.159,0.815,3.1,14.3,0.7,21.09
Anhui,__,0.432895994,1,52.1,0.333208049,-1.098988212,3332.080492,4867,14485,28792,0.096,0.75,1.39,13.19,0.37,30.74
Jiangxi,__,0.843398025,2,56.2,0.296605956,-1.215350768,2966.059562,4851,14781,28799,0.118,0.76,1.43,12.34,0.06,13.83
Jiangsu,__,0.60016186,2,50.9,0.729585338,-0.315278936,7295.853382,11773,39622,68347,0.233,0.837,2.24,17.84,0.37,43.36
Liaoning,__,0.138242322,1,0,0.68264174,-0.381785096,6826.4174,11226,31258,56547,0.183,0.835,3.38,18.16,0.55,23.07
Hebei,__,0.019409878,1,0,0.442678266,-0.814912034,4426.782663,7663,23239,36584,0.111,0.81,1.2,11.52,0.62,35.29
Henan,__,0.0656205,1,48.8,0.329971429,-1.108749208,3299.714286,5444,19593,31723,0.102,0.787,1.14,10.14,0.61,40.75
Qinghai,__,0,1,0,0.343679834,-1.068044771,3436.798337,5087,17389,33023,0.11,0.72,1.8,12.02,0.42,0.82
Guizhou,__,0.417608696,1,37.4,0.179609464,-1.716970429,1796.094641,2662,8824,19566,0.06,0.69,1.25,9.93,0.36,10.44
Chongqing,__,0.51,2,39.7,0.37379,-0.984061137,3737.940288,5157,18025,39083,0.127,0.783,1.23,14.03,0.51,19.57
Shaanxi,__,0.051865386,1,23,0.284584519,-1.25672499,2845.845191,4549,18246,38557,0.139,0.773,2.21,19.46,0.64,16.49
Zhejiang,__,0.83131413,2,50,0.816112526,-0.203203034,8161.12526,13461,42214,63266,0.303,0.841,1.55,15.87,0.1,15.89
Hainan,__,0.578285182,2,49.8,0.502997238,-0.687170601,5029.972376,6894,17175,32375,0.172,0.784,1.73,12.34,0.04,12.14
Hubei,__,0.530196546,2,56,0.414313929,-0.881131309,4143.139293,7188,19860,38574,0.124,0.784,2.19,16.46,0.26,18.06
Hunan,__,0.788657415,2,50.1,0.343507509,-1.068546306,3435.075094,5639,17521,33480,0.109,0.781,1.58,13.48,0.08,15.34
Heilongjiang,___,0.096583772,1,0,0.544320454,-0.608217136,5443.204539,8562,21727,35711,0.125,0.808,2.81,14.34,0.71,19.81
Fujian,__,0.807724252,2,52.6,0.667445165,-0.404298041,6674.451653,11601,30123,52763,0.243,0.807,1.96,14.45,0.08,9.71
,,,,,,,,,,,,,,,,
,,,,,0.867206193,,,,,,,,,,,
